obs,pop,buurt,buurt
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F76-h,434,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G76-h,3,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J76-h,1141,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K76-h,2592,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L76-h,2824,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M76-h,2589,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N76-h,2821,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O76-h,3,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P76-h,3,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q76-h,31,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R76-h,8,Buurt F.F,https://adamlink.nl/geo/district/buurt-ff/112
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F52-h,432,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G52-h,16,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-H52-h,1,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J52-h,684,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K52-h,1423,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L52-h,1762,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M52-h,1409,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N52-h,1749,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O52-h,14,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P52-h,13,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q52-h,37,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R52-h,13,Buurt G,https://adamlink.nl/geo/district/buurt-g/120
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F77-h,542,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G77-h,5,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-H77-h,1,Buurt G.G,https://adamlink.nl/geo/district/buurt-gg/113
