rij,cel,obs,pop,,,,,
199,I199,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I199-h,1,199,Buurt QQ,https://adamlink.nl/geo/district/buurt-qq/101,Boscherhofje,Kom
200,I200,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I200-h,1024,200,Buurt QQ,https://adamlink.nl/geo/district/buurt-qq/101,Overige huizen,Kom
201,I201,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I201-h,1,201,Buurt RR,https://adamlink.nl/geo/district/buurt-rr/117,Brandweerkazerne,Kom
202,I202,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I202-h,278,202,Buurt RR,https://adamlink.nl/geo/district/buurt-rr/117,Overige huizen,Kom
203,I203,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I203-h,1,203,Buurt SS,https://adamlink.nl/geo/district/buurt-ss/118,Fontaineshofje,Kom
204,I204,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I204-h,1,204,Buurt SS,https://adamlink.nl/geo/district/buurt-ss/118,"Gesticht ""de Ster""",Kom
205,I205,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I205-h,1,205,Buurt SS,https://adamlink.nl/geo/district/buurt-ss/118,Nieuwe of Zonsche hofje,Kom
206,I206,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I206-h,472,206,Buurt SS,https://adamlink.nl/geo/district/buurt-ss/118,Overige huizen,Kom
207,I207,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I207-h,1,207,Buurt TT,https://adamlink.nl/geo/district/buurt-tt/105,"Diaconie Wees-, Oude Mannen- en Vrouwenhuis der Hersteld Evangelisch Luth. gemeente",Kom
208,I208,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I208-h,1,208,Buurt TT,https://adamlink.nl/geo/district/buurt-tt/105,St. Antonius gesticht,Kom
209,I209,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I209-h,459,209,Buurt TT,https://adamlink.nl/geo/district/buurt-tt/105,Overige huizen,Kom
210,I210,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I210-h,1,210,Buurt UU,https://adamlink.nl/geo/district/buurt-uu/102,Moenshofje,Kom
211,I211,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I211-h,746,211,Buurt UU,https://adamlink.nl/geo/district/buurt-uu/102,Overige huizen,Kom
212,I212,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I212-h,221,212,Buurt VV,https://adamlink.nl/geo/district/buurt-vv/104,,Kom
213,I213,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I213-h,283,213,Buurt WW,https://adamlink.nl/geo/district/buurt-ww/103,,Kom
214,I214,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I214-h,10,214,Buurt WW,https://adamlink.nl/geo/district/buurt-ww/103,,Buiten de kom
215,I215,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I215-h,1,215,Buurt XX,https://adamlink.nl/geo/district/buurt-xx/123,Buitengasthuis,Kom
216,I216,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I216-h,857,216,Buurt XX,https://adamlink.nl/geo/district/buurt-xx/123,Overige huizen,Kom
217,I217,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I217-h,1,217,Buurt YY,https://adamlink.nl/geo/district/buurt-yy/124,Gesticht voor volwassen blinden,Kom
218,I218,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I218-h,1,218,Buurt YY,https://adamlink.nl/geo/district/buurt-yy/124,Henriette Hofje (oude vrouwen),Kom
219,I219,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I219-h,1125,219,Buurt YY,https://adamlink.nl/geo/district/buurt-yy/124,Overige huizen,Kom
220,I220,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I220-h,504,220,Buurt ZZ,https://adamlink.nl/geo/district/buurt-zz/150,,Kom
221,I221,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I221-h,21,221,Buurt ZZ,https://adamlink.nl/geo/district/buurt-zz/150,,Buiten de kom
225,I225,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I225-h,76,222,,,Arken en Keeten,Kom
68,I68,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I68-h,1,223,,,Schepen te Amsterdam te huis behoorende,Kom
69,I69,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I69-h,400,224,,,,Totaal kom
70,I70,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I70-h,1,225,,,,Buiten de kom
71,I71,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I71-h,1,226,,,,Totaal voor de woningen in de gemeente
72,I72,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I72-h,276,227,,,,"Personen die bij de volkstelling verklaard hebben in de gemeente te wonen, doch wier woonplaats daar niet is gevonden"
73,I73,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I73-h,486,228,,,,Algemeen totaal der bevolking
74,I74,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I74-h,1,229,,,,Tijdelijk aanwezige schepen
75,I75,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I75-h,1,,,,,
76,I76,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I76-h,284,,,,,
77,I77,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I77-h,1,,,,,
78,I78,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I78-h,407,,,,,
79,I79,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I79-h,1,68,Buurt A,https://adamlink.nl/geo/district/buurt-a/134,Broederschap der R. C. gemeente,Kom
80,I80,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I80-h,319,69,Buurt A,https://adamlink.nl/geo/district/buurt-a/134,Overige huizen,Kom
81,I81,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I81-h,394,70,Buurt B,https://adamlink.nl/geo/district/buurt-b/136,Binnen-Gasthuis,Kom
82,I82,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I82-h,503,71,Buurt B,https://adamlink.nl/geo/district/buurt-b/136,St. Bernardus gesticht,Kom
83,I83,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I83-h,473,72,Buurt B,https://adamlink.nl/geo/district/buurt-b/136,Overige huizen,Kom
84,I84,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I84-h,1,73,Buurt C,https://adamlink.nl/geo/district/buurt-c/141,,Kom
85,I85,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I85-h,554,74,Buurt D,https://adamlink.nl/geo/district/buurt-d/131,R. C. Maagdenhuis,Kom
86,I86,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I86-h,1,75,Buurt D,https://adamlink.nl/geo/district/buurt-d/131,Hulphuis van arrest,Kom
87,I87,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I87-h,632,76,Buurt D,https://adamlink.nl/geo/district/buurt-d/131,Overige huizen,Kom
88,I88,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I88-h,45,77,Buurt E,https://adamlink.nl/geo/district/buurt-e/130,Burgerweeshuis,Kom
89,I89,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I89-h,1,78,Buurt E,https://adamlink.nl/geo/district/buurt-e/130,Overige huizen,Kom
90,I90,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I90-h,417,79,Buurt F,https://adamlink.nl/geo/district/buurt-f/121,Hofje van Brouwer,Kom
91,I91,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I91-h,423,80,Buurt F,https://adamlink.nl/geo/district/buurt-f/121,Overige huizen,Kom
92,I92,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I92-h,375,81,Buurt G,https://adamlink.nl/geo/district/buurt-g/120,,Kom
93,I93,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I93-h,1,82,Buurt H,https://adamlink.nl/geo/district/buurt-h/129,,Kom
