WKT,nummer
"POINT (121919.678956772 487590.399570334)",442
"POINT (121918.283675857 487586.988883652)",443
"POINT (121916.888394941 487583.268134543)",444
"POINT (121915.338082813 487578.462166945)",445
"POINT (121913.787770684 487573.966261773)",446
"POINT (121898.362165006 487583.423165756)",447
"POINT (121899.524899103 487587.996586535)",448
"POINT (121900.145023954 487592.570007314)",449
"POINT (121900.997695625 487596.678334454)",450
"POINT (121901.850367295 487601.019208414)",451
"POINT (121902.548007753 487605.43759798)",452
"POINT (121903.943288669 487609.390893908)",453
"POINT (121902.470492147 487613.034127409)",454
"POINT (121899.912477135 487618.770282284)",455
"POINT (121897.742040155 487622.646062605)",456
"POINT (121896.424274846 487625.436624437)",457
"POINT (121894.718931505 487629.312404758)",458
"POINT (121891.850854067 487633.265700685)",459
"POINT (121902.470492147 487641.869932998)",460
"POINT (121906.268756861 487644.195401191)",461
"POINT (121909.524412331 487646.288322564)",462
"POINT (121912.935099014 487648.148697118)",463
"POINT (121918.671253889 487644.272916797)",464
"POINT (121922.469518604 487641.094776934)",465
"POINT (121927.120454989 487636.753902974)",466
"POINT (121932.469031832 487631.172779312)",467
"POINT (121931.538844555 487626.754389746)",468
"POINT (121930.066048033 487622.258484573)",469
"POINT (121928.438220298 487617.375001369)",470
"POINT (121926.732876957 487612.414002558)",471
"POINT (121925.337596041 487607.918097385)",472
"POINT (121934.949531237 487639.389433592)",473
"POINT (121937.042452611 487645.5131665)",474
"POINT (121939.212889591 487650.396649704)",475
"POINT (121941.305810964 487656.675413825)",476
"POINT (121943.243701124 487664.814552499)",477
"POINT (121945.879231743 487671.635925864)",478
"POINT (121948.437246755 487678.99990847)",479
"POINT (121950.91774616 487686.44140669)",480
"POINT (121953.708307991 487693.030233236)",481
"POINT (121956.34383861 487700.549247059)",482
"POINT (121958.746822409 487707.913229669)",483
"POINT (121961.072290601 487713.649384544)",484
"POINT (121962.777633943 487719.075476994)",485
"POINT (121979.133426898 487729.074990222)",486
"POINT (121996.18686031 487724.501569443)",487
"POINT (121940.143076868 487707.68068285)",488
"POINT (121934.949531237 487703.57235571)",489
"POINT (121928.903313937 487698.766388111)",490
"POINT (121921.151753294 487692.255077172)",491
"POINT (121915.415598419 487688.224265638)",492
"POINT (121909.911990363 487683.41829804)",493
"POINT (121902.858070179 487678.379783623)",494
"POINT (121895.959181207 487673.651331631)",495
"POINT (121890.145510726 487670.783254193)",496
"POINT (121884.874449489 487668.380270394)",497
"POINT (121880.766122349 487664.504490073)",498
"POINT (121877.665498092 487662.17902188)",499
"POINT (121873.944748984 487658.768335198)",500
"POINT (121877.355435666 487653.884851993)",501
"POINT (121879.603388252 487651.171805769)",502
"POINT (121882.548981296 487647.373541054)",503
"POINT (121885.572089947 487642.567573456)",504
"POINT (121888.672714204 487638.614277528)",505
"POINT (121900.145023954 487645.125588468)",506
"POINT (121903.400679424 487647.606087873)",507
"POINT (121905.881178829 487649.466462427)",508
"POINT (121877.743013698 487680.937798634)",509
"POINT (121883.55668418 487685.666250626)",510
"POINT (121889.137807842 487689.464515341)",511
"POINT (121895.494087569 487694.425514152)",512
"POINT (121902.548007753 487702.177074794)",513
"POINT (121906.036210042 487705.200183444)",514
"POINT (121909.679443544 487707.758198456)",515
"POINT (121913.555223865 487710.858822713)",516
"POINT (121917.431004186 487714.036962576)",517
"POINT (121921.074237688 487716.98255562)",518
"POINT (121871.154187153 487698.998934931)",519
"POINT (121926.345298925 487720.935851548)",520
"POINT (121931.306297736 487724.811631869)",521
"POINT (121937.352515037 487729.540083861)",522
"POINT (121943.476247944 487734.346051459)",523
"POINT (121949.677496458 487738.609409812)",524
"POINT (121815.11040371 487761.243966887)",525
"POINT (121644.149733747 487604.197348277)",526
"POINT (121649.808373016 487602.259458116)",527
"POINT (121656.474715168 487599.081318253)",528
"POINT (121661.048135947 487596.213240816)",529
"POINT (121664.071244597 487593.655225804)",530
"POINT (121668.334602951 487591.484788824)",531
"POINT (121672.210383272 487588.771742599)",532
"POINT (121666.39671279 487581.330244383)",533
"POINT (121661.745776405 487576.446761178)",534
"POINT (121657.869996084 487571.950856006)",535
"POINT (121654.226762582 487568.230106897)",536
"POINT (121650.428497867 487564.586873395)",537
"POINT (121647.405389217 487560.478546255)",538
"POINT (121643.994702534 487557.455437605)",539
"POINT (121640.273953426 487553.037048039)",540
"POINT (121636.243141892 487548.386111653)",541
"POINT (121633.297548848 487545.20797179)",542
"POINT (121628.724128069 487540.712066618)",543
"POINT (121625.080894567 487536.603739477)",544
"POINT (121621.12759864 487532.417896731)",545
"POINT (121617.251818319 487527.921991558)",546
"POINT (121614.228709668 487524.046211237)",547
"POINT (121610.120382528 487519.937884097)",548
"POINT (121606.554664633 487515.829556956)",549
"POINT (121603.454040376 487512.341354667)",550
"POINT (121688.178598195 487591.717335643)",551
"POINT (121685.930645608 487589.469383057)",552
"POINT (121682.985052564 487586.3687588)",553
"POINT (121679.341819062 487582.337947266)",554
"POINT (121673.450632974 487576.291729965)",555
"POINT (121669.497337047 487571.795824793)",556
"POINT (121665.466525513 487567.687497652)",557
"POINT (121662.055838831 487564.431842183)",558
"POINT (121658.955214574 487560.401030649)",559
"POINT (121655.389496678 487556.835312753)",560
"POINT (121652.211356815 487553.269594858)",561
"POINT (121666.706775216 487545.363003003)",562
"POINT (121670.582555537 487543.192566023)",563
"POINT (121674.768398284 487541.564738288)",564
"POINT (121679.264303456 487540.944613437)",565
"POINT (121684.612880299 487540.557035405)",566
"POINT (121690.426550781 487539.394301308)",567
"POINT (121696.860346114 487538.309082819)",568
"POINT (121701.356251286 487537.456411148)",569
"POINT (121706.627312523 487536.603739477)",570
"POINT (121713.526201494 487535.053427349)",571
"POINT (121718.797262731 487533.658146433)",572
"POINT (121723.215652297 487531.952803092)",573
"POINT (121726.858885799 487530.48000657)",574
"POINT (121729.494416417 487529.549819293)",575
"POINT (121685.775614395 487552.261891974)",576
"POINT (121694.612393528 487553.812204103)",577
"POINT (121699.728423551 487551.48673591)",578
"POINT (121734.125973901 487527.321245608)",579
"POINT (121740.094675595 487524.298136958)",580
"POINT (121745.210705619 487522.127699978)",581
"POINT (121748.388845482 487527.398761215)",582
"POINT (121751.334438526 487530.731932291)",583
"POINT (121753.039781868 487533.910072154)",584
"POINT (121744.047971523 487538.56100854)",585
"POINT (121740.017159989 487540.963992339)",586
"POINT (121735.366223604 487543.75455417)",587
