"lp","straaturi","year"
100347,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100348,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100349,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100350,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100351,"https://adamlink.nl/geo/street/korte-niezel/2481",1876
100352,"https://adamlink.nl/geo/street/korte-niezel/2481",1876
100353,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100354,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100355,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100356,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100357,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100358,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100360,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100361,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100362,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100363,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100364,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100365,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100366,"https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406",1876
100368,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100369,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100370,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100371,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100372,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100373,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100374,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100375,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100376,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100377,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100378,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100379,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100380,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100381,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100382,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100383,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100384,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100385,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100387,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100388,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100389,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100390,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100391,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100393,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100394,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100395,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100396,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100397,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100398,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100399,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100400,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100401,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100402,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100404,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100405,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100406,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100407,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100408,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100409,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100410,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100411,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100412,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100413,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100414,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100415,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100417,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100418,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100419,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100420,"https://adamlink.nl/geo/street/geldersekade/1459",1876
100422,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100423,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100424,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100425,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100426,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100427,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100428,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100429,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100430,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100431,"https://adamlink.nl/geo/street/zeedijk/5154",1876
100432,"https://adamlink.nl/geo/street/zeedijk/5154",1876
