caswgt,volgnr1y,buurty,huisnry,lftmy,gebplmy,bersmy,berpmy,aboeky,relimy,bsmy,lftvy,relivy,gebplvy,nrkindy,nrbodey,nrhgy,relhfdy,grondbly,pbly,patbly,jrhu1y,bervamy,bervavy,bermhuy,bergt1y,relgt1y,bergt2y,relgt2y,bergt3y,relgt3y,bergt4y,relgt4y,hulftmy,hulftvy,volgnr2y,bsvy,gebplv1y,jrhu2y,bervam2y,bervav2y,bermhu2y,bergt12y,relgt12y,bergt22y,relgt22y,bergt32y,relgt32y,bergt42y,relgt42y,hulftm2y,hulftv2y,bsv2y,gebplv2y,jrhu3y,bervam3y,bervav3y,bermhu3y,bergt13y,relgt13y,bergt23y,relgt23y,bergt33y,relgt33y,bergt43y,relgt43y,hulftm3y,hulftv3y,bsv3y,gebplv3y,tot3bly,grblgy,pblgy,patblgy,omvhhy,berpm00y,berpm0y,totbly,lftklasy
1,120651,6,10,53,27,190,310,0,8,1,50,8,3,0,0,0,-1,115,25,0,1826,0,0,212,210,7,210,7,0,0,0,0,26,33,120652,2,1,1846,0,0,310,310,7,310,7,540,7,310,7,46,42,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,5,3,1,2,3,31,2,5
1,120701,44,510,45,1,193,222,1,1,2,-1,-1,-1,3,1,0,-1,57,52,22,1831,0,211,222,211,4,350,7,680,7,650,7,22,22,120702,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,131,4,4,3,5,2,22,2,4
1,120751,25,467,53,1,238,680,1,1,1,46,1,1,7,3,0,-1,0,126,113,1823,210,322,680,210,1,322,4,680,7,0,0,22,20,120752,1,4,1825,0,0,680,680,2,610,3,610,6,680,7,24,17,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239,1,5,5,12,6,68,3,5
1,120801,35,446,41,1,230,650,1,1,2,-1,-1,-1,2,2,0,-1,0,90,87,1842,610,0,650,680,5,611,2,321,5,650,7,29,31,120802,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,177,1,4,4,5,6,65,2,4
1,120851,36,122,36,1,360,540,3,6,3,-1,-1,-1,0,2,4,2,0,222,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,222,1,5,1,7,5,54,3,3
1,120901,26,8,31,1,360,540,3,1,1,24,1,1,0,3,0,-1,0,320,533,1849,0,680,540,610,2,451,2,650,6,455,6,27,19,120902,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,853,1,6,6,5,5,54,4,3
1,120951,34,425,64,1,224,120,1,5,1,69,2,1,2,2,0,-1,0,191,247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120952,-1,-1,1829,0,540,700,650,2,321,2,650,5,610,7,40,45,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,438,1,5,5,6,1,12,3,6
1,121001,5,12,42,1,193,220,1,7,1,40,8,4,1,0,0,-1,112,52,54,1852,0,210,220,322,3,321,7,322,7,210,7,40,38,121002,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,218,5,4,4,3,2,22,3,4
1,121101,28,279,38,16,360,540,0,4,1,40,4,1,1,1,3,2,55,42,21,1840,540,212,260,610,3,234,2,210,3,252,7,24,26,121102,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118,4,3,3,7,5,54,2,3
1,121151,33,443,83,5,360,510,2,1,2,-1,-1,-1,0,4,0,-1,152,303,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121152,-1,-1,1820,0,0,421,610,7,610,7,610,7,233,7,49,36,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,455,5,6,1,5,5,51,3,8
1,121201,10,462,46,3,193,611,1,4,1,48,5,15,5,1,0,-1,0,84,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,142,1,4,4,8,6,61,2,4
1,121251,35,512,65,24,340,442,1,1,1,60,1,1,0,2,0,-1,0,131,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121252,-1,-1,1837,442,0,442,540,5,540,5,680,5,410,7,49,35,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,131,1,5,1,4,4,44,2,6
